Model,TWOUT,TA,Cooling Capacity,Power Input (kW),Fluid Flow rate (l/s),Fluid Pressure Drop (kPa),dT
Vertiv DDNT150A272,25,8,737,18.9,13.2,7,13.4
Vertiv DDNT150A272,25,11,643,20.8,13.2,7,11.7
Vertiv DDNT150A272,25,14,550,23.4,13.2,7,10
Vertiv DDNT150A272,25,17,456,27,13.2,7,8.3
Vertiv DDNT150A272,25,20,362,32.6,13.2,7,6.6
Vertiv DDNT150A272,27,8,315,16.4,11.7,5.5,6.5
Vertiv DDNT150A272,27,11,315,17.9,11.7,5.5,6.5
Vertiv DDNT150A272,27,14,315,19.8,11.7,5.5,6.5
Vertiv DDNT150A272,27,17,315,22.5,11.7,5.5,6.5
Vertiv DDNT150A272,27,20,315,26.2,11.7,5.5,6.5
Vertiv DDNT150A272,27,23,315,32.2,11.7,5.5,6.5
Vertiv DDNT150A272,29,8,258,13.5,9.5,3.7,6.5
Vertiv DDNT150A272,29,11,258,14.6,9.5,3.7,6.5
Vertiv DDNT150A272,29,14,258,16.1,9.5,3.7,6.5
Vertiv DDNT150A272,29,17,258,18,9.5,3.7,6.5
Vertiv DDNT150A272,29,20,258,20.7,9.5,3.7,6.5
Vertiv DDNT150A272,29,23,258,24.6,9.5,3.7,6.5
Vertiv DDNT150A272,29,26,258,31.1,9.5,3.7,6.5
Vertiv DDNT150A272,31,8,368,16.3,13.6,7.3,6.5
Vertiv DDNT150A272,31,11,368,17.5,13.6,7.3,6.5
Vertiv DDNT150A272,31,14,368,19,13.6,7.3,6.5
Vertiv DDNT150A272,31,17,368,20.9,13.6,7.3,6.5
Vertiv DDNT150A272,31,20,368,23.5,13.6,7.3,6.5
Vertiv DDNT150A272,31,23,368,27.2,13.6,7.3,6.5
Vertiv DDNT150A272,31,26,368,32.7,13.6,7.3,6.5
Vertiv DDNT150A272,33,8,317,14.2,11.7,5.5,6.5
Vertiv DDNT150A272,33,11,317,15.1,11.7,5.5,6.5
Vertiv DDNT150A272,33,14,317,16.3,11.7,5.5,6.5
Vertiv DDNT150A272,33,17,317,17.8,11.7,5.5,6.5
Vertiv DDNT150A272,33,20,317,19.7,11.7,5.5,6.5
Vertiv DDNT150A272,33,23,317,22.3,11.7,5.5,6.5
Vertiv DDNT150A272,33,26,317,26.1,11.7,5.5,6.5
Vertiv DDNT150A272,33,29,317,33.1,11.7,5.5,6.5
Vertiv DDNT150A272,35,8,265,11.9,9.8,3.9,6.5
Vertiv DDNT150A272,35,11,265,12.6,9.8,3.9,6.5
Vertiv DDNT150A272,35,14,265,13.5,9.8,3.9,6.5
Vertiv DDNT150A272,35,17,265,14.7,9.8,3.9,6.5
Vertiv DDNT150A272,35,20,265,16.1,9.8,3.9,6.5
Vertiv DDNT150A272,35,23,265,18,9.8,3.9,6.5
Vertiv DDNT150A272,35,26,265,20.7,9.8,3.9,6.5
Vertiv DDNT150A272,35,29,265,24.7,9.8,3.9,6.5
Vertiv DDNT150A272,35,32,265,31.1,9.8,3.9,6.5
Vertiv DDNT150A272,37,8,373,14.6,13.9,7.7,6.4
Vertiv DDNT150A272,37,11,373,15.4,13.9,7.7,6.4
Vertiv DDNT150A272,37,14,373,16.4,13.9,7.7,6.4
Vertiv DDNT150A272,37,17,373,17.6,13.9,7.7,6.4
Vertiv DDNT150A272,37,20,373,19.1,13.9,7.7,6.4
Vertiv DDNT150A272,37,23,373,21,13.9,7.7,6.4
Vertiv DDNT150A272,37,26,373,23.6,13.9,7.7,6.4
Vertiv DDNT150A272,37,29,373,27.2,13.9,7.7,6.4
Vertiv DDNT150A272,37,32,373,32.8,13.9,7.7,6.4
Vertiv DDNT150A272,39,8,322,13,12,5.8,6.4
Vertiv DDNT150A272,39,11,322,13.7,12,5.8,6.4
Vertiv DDNT150A272,39,14,322,14.5,12,5.8,6.4
Vertiv DDNT150A272,39,17,322,15.4,12,5.8,6.4
Vertiv DDNT150A272,39,20,322,16.6,12,5.8,6.4
Vertiv DDNT150A272,39,23,322,18,12,5.8,6.4
Vertiv DDNT150A272,39,26,322,20,12,5.8,6.4
Vertiv DDNT150A272,39,29,322,22.6,12,5.8,6.4
Vertiv DDNT150A272,39,32,322,26.4,12,5.8,6.4
Vertiv DDNT150A272,39,35,322,32.4,12,5.8,6.4
Vertiv DDNT150A272,41,8,270,11,10.1,4.2,6.4
Vertiv DDNT150A272,41,11,270,11.5,10.1,4.2,6.4
Vertiv DDNT150A272,41,14,270,12.1,10.1,4.2,6.4
Vertiv DDNT150A272,41,17,270,12.9,10.1,4.2,6.4
Vertiv DDNT150A272,41,20,270,13.8,10.1,4.2,6.4
Vertiv DDNT150A272,41,23,270,14.9,10.1,4.2,6.4
Vertiv DDNT150A272,41,26,270,16.4,10.1,4.2,6.4
Vertiv DDNT150A272,41,29,270,18.3,10.1,4.2,6.4
Vertiv DDNT150A272,41,32,270,21,10.1,4.2,6.4
Vertiv DDNT150A272,41,35,270,24.9,10.1,4.2,6.4
Vertiv DDNT150A272,41,38,270,31.4,10.1,4.2,6.4
Vertiv DDNT150A272,43,8,300,11.3,8.5,4.5,8.5
Vertiv DDNT150A272,43,11,300,11.9,8.5,4.5,8.5
Vertiv DDNT150A272,43,14,300,12.6,8.5,4.5,8.5
Vertiv DDNT150A272,43,17,300,13.4,8.5,4.5,8.5
Vertiv DDNT150A272,43,20,300,14.3,8.5,4.5,8.5
Vertiv DDNT150A272,43,23,300,15.5,8.5,4.5,8.5
Vertiv DDNT150A272,43,26,300,17,8.5,4.5,8.5
Vertiv DDNT150A272,43,29,300,18.9,8.5,4.5,8.5
Vertiv DDNT150A272,43,32,300,21.5,8.5,4.5,8.5
Vertiv DDNT150A272,43,35,300,25.2,8.5,4.5,8.5
Vertiv DDNT150A272,43,38,300,30.7,8.5,4.5,8.5
Vertiv DDNT150A272,45,8,325,12.1,12.1,5.9,6.4
Vertiv DDNT150A272,45,11,325,12.6,12.1,5.9,6.4
Vertiv DDNT150A272,45,14,325,13.1,12.1,5.9,6.4
Vertiv DDNT150A272,45,17,325,13.8,12.1,5.9,6.4
Vertiv DDNT150A272,45,20,325,14.6,12.1,5.9,6.4
Vertiv DDNT150A272,45,23,325,15.5,12.1,5.9,6.4
Vertiv DDNT150A272,45,26,325,16.7,12.1,5.9,6.4
Vertiv DDNT150A272,45,29,325,18.1,12.1,5.9,6.4
Vertiv DDNT150A272,45,32,325,20.1,12.1,5.9,6.4
Vertiv DDNT150A272,45,35,325,22.7,12.1,5.9,6.4
Vertiv DDNT150A272,45,38,325,26.5,12.1,5.9,6.4
Vertiv DDNT150A272,45,41,325,32.5,12.1,5.9,6.4
Schneider DSAF1200	15	8	900	9.5	45		4.8	 $313,000.00 
Schneider DSAF1200	15	11	900	29.5	45		4.8	 $313,000.00 
Schneider DSAF1200	19	8	900	3.8	45		4.8	 $313,000.00 
Schneider DSAF1200	19	11	900	6.9	45		4.8	 $313,000.00 
Schneider DSAF1200	19	17	642.1	38.4	32.1		4.8	 $313,000.00 
Schneider DSAF1200	23	8	897.9	2.5	45		4.8	 $313,000.00 
Schneider DSAF1200	23	11	899.9	3.2	45		4.8	 $313,000.00 
Schneider DSAF1200	23	17	899.8	11.9	45		4.8	 $313,000.00 
Schneider DSAF1200	23	20	844.7	37.9	42.2		4.8	 $313,000.00 
Schneider DSAF1200	25	8	895.5	1.7	45		4.8	 $313,000.00 
Schneider DSAF1200	25	11	899.9	2.6	45		4.8	 $313,000.00 
Schneider DSAF1200	25	17	899.9	6.5	45		4.8	 $313,000.00 
Schneider DSAF1200	25	20	900	16.8	46		4.7	 $313,000.00 
Schneider DSAF1200	25	8	1064.9	2.5	38.2		6.7	 $313,000.00 
Schneider DSAF1200	25	11	1070.4	3.1	38.2		6.7	 $313,000.00 
Schneider DSAF1200	25	20	1070.3	19.9	38.2		6.7	 $313,000.00 
Schneider DSAF1200	31	8	1112.8	1.3	39.9		6.7	 $313,000.00 
Schneider DSAF1200	31	11	1113.2	1.8	39.9		6.7	 $313,000.00 
Schneider DSAF1200	31	20	1118.6	4.8	39.9		6.7	 $313,000.00 
Schneider DSAF1200	31	26	1118.8	20.9	39.9		6.7	 $313,000.00 
Schneider DSAF1200	35	8	1125.1	1	40.3		6.7	 $313,000.00 
Schneider DSAF1200	35	11	1123.8	1.2	40.3		6.7	 $313,000.00 
Schneider DSAF1200	35	20	1129.8	2.9	40.3		6.7	 $313,000.00 
Schneider DSAF1200	35	26	1129.9	6.8	40.3		6.7	 $313,000.00 
Schneider DSAF1200	35	29	1129.9	14.7	40.3		6.7	 $313,000.00 
Schneider DSAF1200	35	32	1064.9	36	40.3		6.3	 $313,000.00 
Schneider DSAF1200	37	8	1141.9	0.69	41		6.7	 $313,000.00 
Schneider DSAF1200	37	11	1139.8	1.1	41		6.7	 $313,000.00 
Schneider DSAF1200	37	20	1145.2	2.6	41		6.7	 $313,000.00 
Schneider DSAF1200	37	26	1145	4.8	41		6.7	 $313,000.00 
Schneider DSAF1200	37	29	1145.2	8.7	41		6.7	 $313,000.00 
Schneider DSAF1200	37	32	1145.4	20.9	41		6.7	 $313,000.00 
Schneider DSAF1200	41	8	1183.4	0.9	42.2		6.7	 $313,000.00 
Schneider DSAF1200	41	11	1179.7	0.9	42.2		6.7	 $313,000.00 
Schneider DSAF1200	41	20	1177.6	1.8	42.2		6.7	 $313,000.00 
Schneider DSAF1200	41	26	1183.5	3.1	42.2		6.7	 $313,000.00 
Schneider DSAF1200	41	29	1182.9	4.4	42.2		6.7	 $313,000.00 
Schneider DSAF1200	41	32	1182.9	7.4	42.2		6.7	 $313,000.00 
Schneider DSAF1200	41	35	1183.4	15.8	42.2		6.7	 $313,000.00 
Schneider DSAF1200	41	38	1096.6	35	42.2		6.2	 $313,000.00 
Schneider DSAF1200	44	8	1216.5	0.8	43.4		6.7	 $313,000.00 
Schneider DSAF1200	44	11	1215.2	0.9	43.4		6.7	 $313,000.00 
Schneider DSAF1200	44	20	1210.2	1.4	43.4		6.7	 $313,000.00 
Schneider DSAF1200	44	26	1216.4	2.5	43.4		6.7	 $313,000.00 
Schneider DSAF1200	44	29	1216.7	3.2	43.4		6.7	 $313,000.00 
Schneider DSAF1200	44	32	1216	4.6	43.4		6.7	 $313,000.00 
Schneider DSAF1200	44	35	1216.2	7.7	43.4		6.7	 $313,000.00 
Schneider DSAF1200	44	38	1216.7	16.6	43.4		6.7	 $313,000.00 
Schneider DSAF1200	44	41	1114.1	34.4	43.4		6.2	 $313,000.00 
